Date,ReleaseType
2023-01-06 08:30:00,NFP
2023-01-12 08:30:00,CPI
2023-02-01 14:00:00,FOMC
2023-02-03 08:30:00,NFP
2023-02-14 08:30:00,CPI
2023-03-10 08:30:00,NFP
2023-03-14 08:30:00,CPI
2023-03-22 14:00:00,FOMC
2023-04-07 08:30:00,NFP
2023-04-12 08:30:00,CPI
2023-05-03 14:00:00,FOMC
2023-05-05 08:30:00,NFP
2023-05-10 08:30:00,CPI
2023-06-02 08:30:00,NFP
2023-06-13 08:30:00,CPI
2023-06-14 14:00:00,FOMC
2023-07-07 08:30:00,NFP
2023-07-12 08:30:00,CPI
2023-07-26 14:00:00,FOMC
2023-08-04 08:30:00,NFP
2023-08-10 08:30:00,CPI
2023-09-01 08:30:00,NFP
2023-09-13 08:30:00,CPI
2023-09-20 14:00:00,FOMC
2023-10-06 08:30:00,NFP
2023-10-12 08:30:00,CPI
2023-11-01 14:00:00,FOMC
2023-11-03 08:30:00,NFP
2023-11-14 08:30:00,CPI
2023-12-08 08:30:00,NFP
2023-12-12 08:30:00,CPI
2023-12-13 14:00:00,FOMC
2024-01-05 08:30:00,NFP
2024-01-11 08:30:00,CPI
2024-01-31 14:00:00,FOMC
2024-02-02 08:30:00,NFP
2024-02-13 08:30:00,CPI
2024-03-08 08:30:00,NFP
2024-03-12 08:30:00,CPI
2024-03-20 14:00:00,FOMC
2024-04-05 08:30:00,NFP
2024-04-10 08:30:00,CPI
2024-05-01 14:00:00,FOMC
2024-05-03 08:30:00,NFP
2024-05-15 08:30:00,CPI
2024-06-07 08:30:00,NFP
2024-06-12 08:30:00,CPI
2024-06-12 14:00:00,FOMC
2024-07-05 08:30:00,NFP
2024-07-11 08:30:00,CPI
2024-07-31 14:00:00,FOMC
2024-08-02 08:30:00,NFP
2024-08-14 08:30:00,CPI
2024-09-06 08:30:00,NFP
2024-09-11 08:30:00,CPI
2024-09-18 14:00:00,FOMC
2024-10-04 08:30:00,NFP
2024-10-10 08:30:00,CPI
2024-11-01 08:30:00,NFP
2024-11-07 14:00:00,FOMC
2024-11-13 08:30:00,CPI
2024-12-06 08:30:00,NFP
2024-12-11 08:30:00,CPI
2024-12-18 14:00:00,FOMC
